year_of_value,country_name,cap_fish_prod,cer_prod,Aqua_cult_prod,cer_yld,fert_cnsmtn,crp_prod_indx,fd_prod_indx,lvstk_prod_indx,lnd_und_crl_prod,tot_fish_prod
2012,United Kingdom,631326.52,19515045,205594.7,6215.1,162.8587507,85.73,90.8,93.84,3139924,836921.22
2012,United States,5081140,356210124,420386,5911.9,133.6280711,85.99,90.9,98.43,60253274,5501526
2012,Germany,214408,45396500,26360,6964.9,58.07284645,94.85,96.12,96.98,6517900,240768
2012,Australia,167631.31,43362426.46,81832.82,2231.6,267.7300119,111.34,95.53,88.46,19431383,249464.13
2012,Netherlands,347264,1730981,46224.4,8545,16.62217069,96.19,90.81,88.67,202572,393488.4
2012,Saudi Arabia,65170,1084597,12737,5164.2,10.19129288,119.44,94.5,78.06,210023,77907
2012,Brazil,818590.47,89908244,480880,4584.5,391.6471284,90.84,91.21,94.29,19611226,1299470.47
2012,China,15446318.15,539346800,52082585.66,5825.2,93.98378763,93.45,94,96.45,92588200,67528903.81
2012,India,4895142.41,293290000,4213980,2963.5,159.5402789,95.71,92.35,86.44,98969000,9109122.41
2012,Indonesia,5864409.35,79092022,9599764.82,5086.8,131.486354,99.52,100.89,91.04,15548595,15464174.17
2012,Mexico,1581200.21,33614212,143746.64,3453.4,192.1756043,90.02,91.9,95.03,9733658,1724946.85
2012,Sri Lanka,450850.61,4054851,8839.76,3582.9,2676.1182,97.45,90.74,89,1131730,459690.37
2013,United Kingdom,632342.04,20083467,225762.18,6631.6,420.1438849,89.63,92.75,94.7,3028452,858104.22
2013,United States,5057467,434308450,429011,7300.9,127.1519431,92.94,95.81,98.78,59486800,5486478
2013,Germany,235107,47757100,25289,7318,55.88383441,96.18,97.07,97.68,6526000,260396
2013,Australia,160248.53,35589235.54,80061.47,1936.1,222.4656431,103.58,96.86,95.07,18381762,240310
2013,Netherlands,327437,1755536,46620,8630.1,13.08195579,97.53,93.41,91.73,203420,374057
2013,Saudi Arabia,71946,881553,9266,5359.8,8.243667297,120.1,104.02,93.7,164474,81212
2013,Brazil,770017.55,100901726,477634.46,4826.4,442.7540251,97.55,97.64,97.98,20906133,1247652.01
2013,China,15633567.44,552691792,55029057.76,5894.2,92.69346862,95.62,95.89,97.34,93768680,70662625.2
2013,India,4665438.43,294909510,4492502,2969.9,149.517842,100,96.6,90.34,99299950,9157940.43
2013,Indonesia,6142410.11,78606853,13301407.93,5087,127.4874643,100.34,99.93,94.01,15452504,19443818.04
2013,Mexico,1626418.14,33210301,111499.75,3386.9,175.4365936,93.11,94.4,96.3,9805578,1737917.89
2013,Sri Lanka,461229.6,4837225,30881.3,3833.5,1381.418997,103.51,99.17,92.04,1261819,492110.9
2014,United Kingdom,755988.02,24468841,234368.63,7696.5,420.2937976,104.18,100.68,98.65,3179197,990356.65
2014,United States,4942403,442849090,421189,7638.1,121.2104719,97.81,98.13,98.95,57979030,5363592
2014,Germany,242743,52010400,26032,8050.3,58.44843577,107.61,102.97,99.84,6460700,268775
2014,Australia,150778.96,38420401.88,73177.49,2137.9,383.4001369,102.87,100.8,100.86,17971289,223956.45
2014,Netherlands,371367,1700506,63084,9073.7,13.00318444,102.53,96.63,94.24,187410,434451
2014,Saudi Arabia,68660,1568940,23880,5192.8,9.477704339,84.55,91.5,96.28,302139,92540
2014,Brazil,773293.4,101402184,564221.57,4640.4,480.7485818,98.95,99.15,99.94,21851934,1337514.97
2014,China,16363366.41,557417300,57320503.73,5891.9,87.45308526,97.24,97.6,99.17,94607680,73683870.14
2014,India,4999493.43,296099510,4884002,2956.3,154.5461136,101.28,99.25,95.33,100160240,9883495.43
2014,Indonesia,6528638.33,78067426,14375286.83,5099.1,139.6005643,99.7,99.43,94.06,15310019,20903925.16
2014,Mexico,1529367.57,36526602.49,194229.76,3581.9,179.7573944,97.86,97.32,97.79,10197589,1723597.33
2014,Sri Lanka,493496.68,3625675,34220.3,3801.9,1968.044996,96.87,89.76,92.34,953655,527716.98
2015,United Kingdom,706148.04,24734564,223037.58,7980.9,366.6908388,102.87,101.36,100.47,3099217,929185.62
2015,United States,4996392,431870370.6,426014.5,7430.1,123.1155989,95.48,97.01,98.65,58124740,5422406.5
2015,Germany,261744,48866800,29909,7497.8,54.80768087,97.52,99.27,100.44,6517500,291653
2015,Australia,151861.12,37195914.48,83074.9,2027.3,285.7796605,97.94,101.22,102.38,18347387,234936.02
2015,Netherlands,384475,1671654,62795,8752.8,12.93594202,99.81,101.11,101.64,190986,447270
2015,Saudi Arabia,68130,1616813,30000,5582.8,8.781209746,105.05,101.49,98.95,289608,98130
2015,Brazil,710374.17,106026684.8,578372.92,5000.6,402.5328537,102.69,101.82,100.23,21202900,1288747.09
2015,China,16647934.68,618165313.3,59368941.59,5985.2,84.76666321,101.56,101.36,100.66,103281871,76016876.27
